login,commits
markstory,13651
lorenzo,5668
ADmad,2040
phpnut,1565
dereuromark,1270
nateabele,1055
gwoo@cakephp.org,1039
AD7six,759
jrbasso,634
ceeram,383
burzum,329
mariano.iglesias@3807eeeb-6ff5-0310-8944-8be069107fe0,295
antograssiot,288
renan,287
predominant,274
bcrowe,259
robertpustulka,255
rchavik,168
jperras,153
ravage84,151
dakota,151
felixge,149
jeremyharris,134
dho@3807eeeb-6ff5-0310-8944-8be069107fe0,130
mathew@thinkingmedia.ca,128
tim-kos,119
HavokInspiration,114
github-46j8925q79hg@nowak-media.de,112
bar,107
shama,102
