login,commits
cpovirk,1307
kluever,512
cgdecker,468
guava.mirrorbot@gmail.com@8138a162-5c33-11de-8abc-d1c337b90d21,414
lowasser,302
fry@google.com,279
Bezier89,220
cgruber,167
kevinb9n,88
chengniansun,78
lukesandberg,76
jrtom,43
kevinb@google.com@8138a162-5c33-11de-8abc-d1c337b90d21,42
gk5885,41
cushon,36
nymanjens,36
dimo414,30
clm@google.com,28
ronshapiro,28
benyu@google.com,22
cgruberatgoog@8138a162-5c33-11de-8abc-d1c337b90d21,20
components-release@google.com,20
netdpb,15
eamonnmcmanus,15
chrisn@google.com,14
PeteGillin,14
google.com,13
martinrb@google.com,12
dorireuv,11
fry@google.com@8138a162-5c33-11de-8abc-d1c337b90d21,11
