login,commits
kohsuke@71c3de6d-444a-0410-be80-ed276b4c234a,7210
kohsuke,5762
jglick,3470
daniel-beck,997
oleg-nenashev,885
stephenc,654
olivergondza,551
olamy,530
mindless@71c3de6d-444a-0410-be80-ed276b4c234a,498
tfennelly,317
sogabe@71c3de6d-444a-0410-be80-ed276b4c234a,310
kutzi,305
ssogabe,248
ndeloof,232
jglick@71c3de6d-444a-0410-be80-ed276b4c234a,167
vjuranek,145
batmat,143
imod,121
Vlatombe,112
albers,110
abayer,109
abayer@71c3de6d-444a-0410-be80-ed276b4c234a,104
jtnord,103
Wadeck,102
cactusman@71c3de6d-444a-0410-be80-ed276b4c234a,94
kzantow,89
elefevre@71c3de6d-444a-0410-be80-ed276b4c234a,84
mrecena@cloudbees.com,81
huybrechts@71c3de6d-444a-0410-be80-ed276b4c234a,78
swiest@71c3de6d-444a-0410-be80-ed276b4c234a,78
